Designator,Quantity,Description,Manufacturer,Mfr PN

"C1, C3, C7, C10, C11, C12, C13, C14, C19, C20, C30, C31, C32, C47, C48, C49, C50, C53, C57, C58, C59, C60, C63, C64, C66, C68, C69, C70, C73, C74, C76, C78, C79, C82, C83, C84, C85, C87, C88, C90, C94, C96, C97, C100, C104, C107, C108, C109, C110, C112, C114, C115, C117, C118, C120, C121, C123, C124, C125, C129, C130, C134, C139, C141, C142, C144, C145, C147, C149, C150, C151, C153, C154, C157, C158, C161, C164, C165, C169, C171, C172, C176, C177, C178, C179, C180, C182, C183, C184, C187, C194, C195, C196, C197, C200, C201, C202, C203, C204, C205, C209, C210","102","CAP, 0603, 100nF, 50V","Kemet","C0603C104K5RACTU"
"C2, C21, C24, C37","4","CAP, E12-8mm, 39uF, 50V","Panasonic","50SVPF39M"
"C4, C5, C6, C8, C9, C15, C22, C25, C26, C27, C28, C29, C34, C35, C36, C39, C40, C41, C42, C43, C46, C61, C62, C65, C67, C93, C95, C99, C102, C111, C143, C206, C207, C208","34","CAP, 0603, 1nF, 50V","Kemet","C0603C102K5RACTU"
"C23, C38","2","CAP, E12-8mm, 180uF, 25V","Panasonic","25SVPF180M"
"C33, C71, C131, C162","4","CAP, CASE-B, 4.7uF, 16V","Kemet","T494B475K016AT"
"C44, C45, C55, C56","4","CAP, F12-10mm, 68uF, 50V","Panasonic","50SVPF68M"
"C51, C52, C72, C75, C80, C86, C98, C101, C103, C106, C113, C119, C126, C128, C132, C133, C135, C137, C138, C140, C146, C152, C156, C159, C160, C167, C168, C170, C173, C174, C175, C181, C189, C190, C191, C192, C193","37","CAP, 1206, 1uF, 50V","Kemet","C1206C105K5RACTU"
"C105","1","CAP, 0603, 100pF, 50V","Kemet","C0603C101J5GACTU"
"C116, C155, C186","3","CAP, 0603, 22pF, 50V","Kemet","C0603C220G5GACTU"
"C122, C163, C198","3","CAP, 0603, 470pF, 50V","Kemet","C0603C471G5GACTU"
"C127, C148","2","CAP, 0603, 75pF, 50V","Kemet","C0603C750J5GACTU"
"C136, C166","2","CAP, 0805, 220nF, 50V","Kemet","C0805C224K5RACTU"
"D3, D4, D11, D14, D18, D20, D21, D23, D24, D25, D27, D29, D30, D31, D33, D34, D37, D38, D39, D40, D41, D43, D53, D54, D55, D56","26","TVS DIODE, 6.8V, 4 DEVICES, SOT553","Toshiba","DF5A6.8LJE,LM"
"D7, D19, D22, D26, D28, D32, D36, D42, D44, D45, D46, D47, D48, D49, D51","15","TVS, 30V, 600W","ST","SMBJ30CA-TR"
"D17","1","Schottky Rectifier, 100V, 1A","Vishay","SS1FH10-M3/H"
"D35, D52, D57","3","TVS, 14V, 600W","FEC","SMBJ14CA"
"F1","1","FUSE, BEL, 10A, 125VAC, 0.25" X 1.25"","Bel Fuse Inc.","3AG 10-R"
"F2, F3, F4, F5, F6, F7, F8, F10, F11, F13","10","FUSE, PTC OR STANDARD, 1812 PTC, 1.1A, 33V","Bell Fuse","0ZCG0110CF2B"
"FB1, FB2","2","FERRITE BEAD, 5A, 80 Ohm @ 100 MHz","Laird","HI0805R800R-10"
"FB3","1","FERRITE BEAD, 3.5A, 120 Ohm @ 100 MHz","Laird","HI0805O121R-10"
"FC1, FC2","2","Fuse Clip, Bel, 0.25in Diameter, 15A","Bel Fuse Inc.","FC 102"
"J1","1","JST-PA 5 Pins","JST","B05B-PASK(LF)(SN)"
"J2, J8","2","JST-PA 6 Pins","JST","B06B-PASK(LF)(SN)"
"J3","1","JST-PA 9 Pins","JST","B09B-PASK(LF)(SN)"
"J5","1","Picoblade, 2 Pos, Vertical, 125V, 1A","Molex","0530470210"
"J6","1","JST-PA 7 Pins","JST","B07B-PASK(LF)(SN)"
"J7","1","JST-PA 8 Pins","JST","B08B-PASK(LF)(SN)"
"J11","1","JST-PA 2 Pins","JST","B02B-PASK(LF)(SN)"
"J12","1","JST-PA 4 Pins","JST","B04B-PASK(LF)(SN)"
"J13, J14","2","JST-PA 3 Pins","JST","B03B-PASK(LF)(SN)"
"J15","1","JST-PA 12 Pins","JST","B12B-PASK(LF)(SN)"
"J16","1","Molex iGrid 12 Pins, Single Pin Schematic Symbols","Molex","5016451220"
"J17","1","Mini-Fit Jr. 3 Pos 1x3 Vertical","Molex","039302030"
"J18, J20","2","Mini-Fit Jr. 2 Pos 1x2 Vertical, with pegs","Molex","39299023"
"L1, L2","2","Inductor, 3.3uH, 18A, 6.8mohms","Bourns","SRP1265A-3R3M"
"L3","1","INDUCTOR, 6.8uF, 8.0A","Tri-Tron","SBS1040-6R8M"
"Q1, Q3, Q5, Q8, Q24, Q26, Q28","7","DUAL N-CHANNEL MOSFETS, 60V, 170mA, US6","Toshiba","SSM6N7002CFU,LF"
"Q4, Q27","2","Complementary Transistors, 60V","Vishay","SI1029X-T1-GE3"
"Q6","1","NPN, SOT-23, 15V, 1.5A","ST","2STR1215"
"Q10, Q11, Q14, Q15, Q20, Q21, Q25, Q29","8","P-FET, 60V, 6.9A","Vishay","SI7461DP-T1-GE3"
"Q13, Q16, Q17, Q18, Q22, Q23","6","N-FET, 100V, 8.2A","Vishay","SI7456DDP-T1-GE3"
"R1","1","RES, 0603, 28.7K ohms, 1%, 0.1W","KOA","RK73H1JTTD2872F"
"R2","1","RES, 2512, 0.47 ohms, 1%, 1W","Susumu","RL3264R-R470-F"
"R3, R5, R6, R12, R17, R18, R30, R33, R34, R35, R37, R38, R40, R55, R95, R97, R98, R99, R105, R106, R107, R109, R110, R115, R116, R127, R128, R129, R130, R131, R140, R141, R142, R144, R145, R157, R158, R159, R161, R165, R166, R169, R170, R180, R185, R186, R188, R190, R191, R195, R196, R209","52","RES, 0603, 10K ohms, 1%, 0.1W","KOA","RK73H1JTTD1002F"
"R4, R39, R41, R122, R125, R126, R137, R138, R139, R153, R173","11","RES, 0603, 4.7K ohms, 1%, 0.1W","KOA","RK73H1JTTD4701F"
