Designator,Quantity,Description,Manufacturer,Mfr PN

"C1, C2, C3, C4, C5, C7, C8, C13, C15, C17, C18, C19, C21, C22, C23, C24, C25, C26, C27, C30, C31, C32, C37, C38, C39","25","CAP, 0805, 100nF, 50V","Kemet","C0805C104K5RACTU"
"C6, C11","2","CAP, 1206, 1uF, 50V","Kemet","C1206C105K5RACTU"
"C14","1","2200pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)","Murata","GRM2165C1H222JA01D"
"C20, C28, C29","3","CAP, E12-8mm, 39uF, 50V","Panasonic","50SVPF39M"
"C33, C34, C35, C36","4","CAP, 0805, 1nF, 50V","Kemet","C0805C102K5RACTU"
"D2, D3, D4","3","TVS DIODE, 6.8V, 4 DEVICES, SOT553","Toshiba","DF5A6.8LJE,LM"
"D5","1","DF2S6.8FS,L3M","Toshiba","DF2S6.8FS,L3M"
"J2","1","SLW8S-1C7LF","Amphenol","SLW8S-1C7LF"
"J3, J4","2","JST-PA 6 Pins","JST","B06B-PASK(LF)(SN)"
"J6","1","JST-PA 9 Pins","JST","B09B-PASK(LF)(SN)"
"Q2","1","NPN, SOT-23, 15V, 1.5A","ST","2STR1215"
"R2","1","RES, 0805, 165 ohms, 1%, 0.25W","KOA","RK73H2ATTD1650F"
"R3, R4, R6, R7, R24, R34, R42, R43, R44","9","RES, 0805, 10K ohms, 1%, 0.25W","KOA","RK73H2ATTD1002F"
"R5, R37, R38","3","RES, 0805, 1K ohms, 1%, 0.25W","KOA","RK73H2ATTD1001F"
"R8, R9, R10, R11, R12, R13, R14, R15","8","RES, 0805, 562 ohms, 1%, 0.25W","KOA","RK73H2ATTD5620F"
"R16, R26","2","RES, 0805, 750 ohms, 1%, 0.25W","KOA","RK73H2ATTD7500F"
"R21, R31","2","RES, 0805, 28.7k ohms, 1%, 0.25W","KOA","RK73H2ATTD2872F"
"R22, R23, R32, R33","4","RES, 0805, 17.8K ohms, 1%, 0.25W","KOA","RK73H2ATTD1782F"
"R25, R35","2","RES, 2512, 0.47 ohms, 1%, 1W","Susumu","RL3264R-R470-F"
"R36","1","RES, 0805, 4.75K ohms, 1%, 0.25W","KOA","RK73H2ATTD4751F"
"R41","1","RES, 0805, 100K ohms, 1%, 0.25W","KOA","RK73H2ATTD1003F"
"U1","1","8/16-bit AVR XMEGA D3 Microcontroller, 1.6-3.6V, 32MHz, 64KB + 4KB Flash, 2KB EEPROM, 4KB SRAM, 64-pin TQFP, Industrial Grade (-40°C to 85°C), Pb-Free","Microchip","ATXMEGA64D3-AU"
"U2","1","TC7SZ08FU,LJ(CT 2-input AND Gate","Toshiba","TC7SZ08FU,LJ(CT"
"U3","1","8 Channel Capsense Controller, I2C","Cypress Semi","CY8CMBR3108"
"U4, U6","2","GP1A52HRJ00F","Sharp","GP1A52HRJ00F"
"U5, U7","2","H-Bridge Driver, 38V, 2.8A, 100KHz","TI","DRV8816PWPR"
"U8","1","500mA, Very Low Drop (0.45V) Voltage Regulator, 3.3V, 5-Pin PPAK, Tape and Reel","ST","LF33CPT-TR"
"U9, U10, U11, U12","4","M74VHC1GT125DF1G CMOS Level Shifter","ON Semiconductor","M74VHC1GT125DF1G"
